date,day,plant_system,ave_ph,ave_do,ave_tds,ave_temp,ave_humidity,plant_no,height,length,weight,leaves,branches
2026-02-06,Friday,DWC,5.797708333,3.698333333,399.1458333,23.085,63.29375,1,24,50.9,11,93,9
2026-02-07,Saturday,DWC,5.804791667,3.647083333,408.7291667,23.255625,62.98916667,1,24.2,51.2,12,95,9
2026-02-09,Monday,DWC,5.854583333,3.646458333,432.1875,23.21125,63.51395833,1,24.6,51.8,12,98,12
2026-02-10,Tuesday,DWC,5.869375,3.696666667,445.8125,23.1675,63.1125,1,24.9,52.1,11,98,14
2026-02-11,Wednesday,DWC,5.878333333,3.655625,445.2708333,23.308125,63.37541667,1,25.1,52.4,12,106,11
2026-02-12,Thursday,DWC,5.882291667,3.753958333,468.625,23.25229167,63.66895833,1,25.5,52.8,14,102,12
2026-02-13,Friday,DWC,5.904583333,3.724166667,472.5833333,23.140625,63.15166667,1,25.9,53.2,14,109,14
2026-02-14,Saturday,DWC,5.926458333,3.586041667,482.5,23.159375,63.02458333,1,26,53.3,13,111,15
2026-02-16,Monday,DWC,5.894166667,3.700416667,502.8541667,23.14229167,62.81416667,1,26.8,54.2,18,128,18
2026-02-18,Wednesday,DWC,5.962083333,3.72375,523.0208333,23.314375,63.46354167,1,27.3,54.8,21,113,24
2026-02-19,Thursday,DWC,5.945625,3.761041667,536.6458333,23.13666667,63.00979167,1,27.5,55.1,21,127,29
2026-02-20,Friday,DWC,5.963541667,3.698958333,540.2291667,23.153125,63.36229167,1,27.8,55.5,21,154,28
2026-02-21,Saturday,DWC,6.005,3.77,559.3333333,23.191875,63.635,1,28.3,56,22,169,31
2026-02-23,Monday,DWC,6.030625,3.689375,578.125,23.334375,63.12270833,1,29.1,57.3,23,166,28
2026-02-24,Tuesday,DWC,6.03625,3.770833333,584.6875,23.17854167,63.379375,1,29.5,57.7,24,193,39
2026-02-26,Thursday,DWC,6.064791667,3.730625,606.2291667,23.17166667,63.78083333,1,31.1,58.4,25,208,44
2026-02-27,Friday,DWC,6.084166667,3.692083333,616.9583333,23.20166667,63.08541667,1,31.4,58.7,25,179,39
2026-02-28,Saturday,DWC,6.071666667,3.669583333,623.4583333,23.21520833,63.848125,1,31.7,59.1,26,182,40
2026-03-02,Monday,DWC,6.104791667,3.667083333,642.1666667,23.29479167,62.83145833,1,32.5,60.1,27,230,49
2026-03-03,Tuesday,DWC,6.099166667,3.657291667,652.5625,23.05125,63.14375,1,32.7,60.4,28,230,49
2026-03-04,Wednesday,DWC,6.136875,3.674166667,659.75,23.15416667,63.73625,1,32.9,60.7,29,259,47
