date,day,plant_system,ave_ph,ave_do,ave_tds,ave_temp,ave_humidity,plant_no,height,length,weight,leaves,branches
2026-02-06,Friday,AERO,5.797708333,3.698333333,399.1458333,23.085,63.29375,1,20.9,34.2,7,66,5
2026-02-07,Saturday,AERO,5.804791667,3.647083333,408.7291667,23.255625,62.98916667,1,21,34.4,7,72,5
2026-02-09,Monday,AERO,5.854583333,3.646458333,432.1875,23.21125,63.51395833,1,21.2,34.7,7,78,6
2026-02-10,Tuesday,AERO,5.869375,3.696666667,445.8125,23.1675,63.1125,1,21.4,34.9,7,84,6
2026-02-11,Wednesday,AERO,5.878333333,3.655625,445.2708333,23.308125,63.37541667,1,21.6,35.2,7,90,6
2026-02-12,Thursday,AERO,5.882291667,3.753958333,468.625,23.25229167,63.66895833,1,21.8,35.6,8,96,7
2026-02-13,Friday,AERO,5.904583333,3.724166667,472.5833333,23.140625,63.15166667,1,21.9,35.8,9,102,8
2026-02-14,Saturday,AERO,5.926458333,3.586041667,482.5,23.159375,63.02458333,1,22.1,36.1,10,108,10
2026-02-16,Monday,AERO,5.894166667,3.700416667,502.8541667,23.14229167,62.81416667,1,22.3,36.5,13,120,12
2026-02-18,Wednesday,AERO,5.962083333,3.72375,523.0208333,23.314375,63.46354167,1,22.7,37,14,132,13
2026-02-19,Thursday,AERO,5.945625,3.761041667,536.6458333,23.13666667,63.00979167,1,22.8,37.1,14,144,14
2026-02-06,Friday,AERO,5.797708333,3.698333333,399.1458333,23.085,63.29375,2,22.4,48,8,31,6
2026-02-07,Saturday,AERO,5.804791667,3.647083333,408.7291667,23.255625,62.98916667,2,22.4,48.2,8,33,6
2026-02-09,Monday,AERO,5.854583333,3.646458333,432.1875,23.21125,63.51395833,2,22.8,48.8,8,35,6
2026-02-10,Tuesday,AERO,5.869375,3.696666667,445.8125,23.1675,63.1125,2,23,49.2,8,37,6
2026-02-11,Wednesday,AERO,5.878333333,3.655625,445.2708333,23.308125,63.37541667,2,23.2,49.5,8,39,5
2026-02-12,Thursday,AERO,5.882291667,3.753958333,468.625,23.25229167,63.66895833,2,23.5,49.8,9,43,6
2026-02-13,Friday,AERO,5.904583333,3.724166667,472.5833333,23.140625,63.15166667,2,23.7,50.1,9,44,6
2026-02-14,Saturday,AERO,5.926458333,3.586041667,482.5,23.159375,63.02458333,2,24,50.5,9,45,8
2026-02-16,Monday,AERO,5.894166667,3.700416667,502.8541667,23.14229167,62.81416667,2,24.3,51,10,48,10
2026-02-18,Wednesday,AERO,5.962083333,3.72375,523.0208333,23.314375,63.46354167,2,24.8,51.5,11,50,12
2026-02-19,Thursday,AERO,5.945625,3.761041667,536.6458333,23.13666667,63.00979167,2,25,51.7,10,52,14
2026-02-06,Friday,AERO,5.797708333,3.698333333,399.1458333,23.085,63.29375,3,22.6,36.5,11,95,9
2026-02-07,Saturday,AERO,5.804791667,3.647083333,408.7291667,23.255625,62.98916667,3,22.7,36.7,11,100,10
2026-02-09,Monday,AERO,5.854583333,3.646458333,432.1875,23.21125,63.51395833,3,23.1,37.3,12,105,11
2026-02-10,Tuesday,AERO,5.869375,3.696666667,445.8125,23.1675,63.1125,3,23.5,37.9,12,110,12
2026-02-11,Wednesday,AERO,5.878333333,3.655625,445.2708333,23.308125,63.37541667,3,23.7,38.1,12,115,12
2026-02-12,Thursday,AERO,5.882291667,3.753958333,468.625,23.25229167,63.66895833,3,24,38.5,13,125,14
2026-02-13,Friday,AERO,5.904583333,3.724166667,472.5833333,23.140625,63.15166667,3,24.1,38.8,12,128,14
2026-02-14,Saturday,AERO,5.926458333,3.586041667,482.5,23.159375,63.02458333,3,24.3,39.1,12,132,18
2026-02-16,Monday,AERO,5.894166667,3.700416667,502.8541667,23.14229167,62.81416667,3,25,39.8,13,145,21
