date,day,plant_system,ave_ph,ave_do,ave_tds,ave_temp,ave_humidity,plant_no,height,length,weight,leaves,branches
2026-02-06,Friday,DWC,5.797708333,3.698333333,399.1458333,23.085,63.29375,1,24,50.9,11,93,9
2026-02-07,Saturday,DWC,5.804791667,3.647083333,408.7291667,23.255625,62.98916667,1,24.2,51.2,12,95,9
2026-02-09,Monday,DWC,5.854583333,3.646458333,432.1875,23.21125,63.51395833,1,24.6,51.8,12,98,12
2026-02-10,Tuesday,DWC,5.869375,3.696666667,445.8125,23.1675,63.1125,1,24.9,52.1,11,98,14
2026-02-11,Wednesday,DWC,5.878333333,3.655625,445.2708333,23.308125,63.37541667,1,25.1,52.4,12,106,11
2026-02-12,Thursday,DWC,5.882291667,3.753958333,468.625,23.25229167,63.66895833,1,25.5,52.8,14,102,12
2026-02-13,Friday,DWC,5.904583333,3.724166667,472.5833333,23.140625,63.15166667,1,25.9,53.2,14,109,14
2026-02-14,Saturday,DWC,5.926458333,3.586041667,482.5,23.159375,63.02458333,1,26,53.3,13,111,15
2026-02-16,Monday,DWC,5.894166667,3.700416667,502.8541667,23.14229167,62.81416667,1,26.8,54.2,18,128,18
2026-02-18,Wednesday,DWC,5.962083333,3.72375,523.0208333,23.314375,63.46354167,1,27.3,54.8,21,113,24
2026-02-19,Thursday,DWC,5.945625,3.761041667,536.6458333,23.13666667,63.00979167,1,27.5,55.1,21,127,29
2026-02-06,Friday,DWC,5.797708333,3.698333333,399.1458333,23.085,63.29375,2,31.6,41.1,5,52,10
2026-02-07,Saturday,DWC,5.804791667,3.647083333,408.7291667,23.255625,62.98916667,2,31.8,41.4,4,50,11
2026-02-09,Monday,DWC,5.854583333,3.646458333,432.1875,23.21125,63.51395833,2,32.2,41.9,6,55,13
2026-02-10,Tuesday,DWC,5.869375,3.696666667,445.8125,23.1675,63.1125,2,32.5,42.2,6,57,14
2026-02-11,Wednesday,DWC,5.878333333,3.655625,445.2708333,23.308125,63.37541667,2,32.7,42.6,7,56,12
2026-02-12,Thursday,DWC,5.882291667,3.753958333,468.625,23.25229167,63.66895833,2,32.9,42.8,7,60,12
2026-02-13,Friday,DWC,5.904583333,3.724166667,472.5833333,23.140625,63.15166667,2,33,43,8,62,13
2026-02-14,Saturday,DWC,5.926458333,3.586041667,482.5,23.159375,63.02458333,2,33.2,43.3,7,63,13
2026-02-16,Monday,DWC,5.894166667,3.700416667,502.8541667,23.14229167,62.81416667,2,33.4,43.5,8,57,16
2026-02-18,Wednesday,DWC,5.962083333,3.72375,523.0208333,23.314375,63.46354167,2,33.7,43.8,13,56,12
